start,State,mean,Min,Max
2023-06-17 17:00:00,,0.26362080223944445,0.193,0.378
2023-06-17 18:00:00,,0.2203362882130556,0.115,0.376
2023-06-17 19:00:00,,0.2143570700688889,0.114,0.293
2023-06-17 20:00:00,,0.1833271711494444,0.08,0.291
2023-06-17 21:00:00,,0.1770744255386111,0.111,0.288
2023-06-17 22:00:00,,0.18625365679583336,0.118,0.263
2023-06-17 23:00:00,,0.21439141000472225,0.114,0.294
2023-06-18 00:00:00,,0.2060443802972222,0.113,0.291
2023-06-18 01:00:00,,0.17665217905055555,0.111,0.293
2023-06-18 02:00:00,,0.14012357217805557,0.044,0.285
2023-06-18 03:00:00,,0.1821257713711111,0.109,0.264
2023-06-18 04:00:00,,0.201371781035,0.106,0.279
2023-06-18 05:00:00,,0.19939371012361115,0.114,0.292
2023-06-18 06:00:00,,0.17596830431472224,0.113,0.29
2023-06-18 07:00:00,,0.25980817608083323,0.19,0.39
2023-06-18 08:00:00,,0.22319795126472222,0.112,0.383
2023-06-18 09:00:00,,0.23037611316194448,0.127,0.33
2023-06-18 10:00:00,,0.23253183375361108,0.131,0.325
2023-06-18 11:00:00,,0.20834398787305553,0.104,0.34
2023-06-18 12:00:00,,0.2725450368980556,0.132,0.343
2023-06-18 13:00:00,,0.20029385465805558,0.118,0.351
2023-06-18 14:00:00,,0.1981791767486111,0.12,0.359
2023-06-18 15:00:00,,0.21117237161250002,0.116,0.289
2023-06-18 16:00:00,,0.20600925567166664,0.118,0.29
2023-06-18 17:00:00,,0.2596373342822222,0.173,0.375
2023-06-18 18:00:00,,0.6758119690813889,0.114,6.53
2023-06-18 19:00:00,,0.6660165114677777,0.136,3.705
2023-06-18 20:00:00,,0.24582289804861115,0.136,0.329
2023-06-18 21:00:00,,0.2572990826,0.174,0.502
2023-06-18 22:00:00,,0.31100708799222226,0.143,0.642
2023-06-18 23:00:00,,0.2842980653677778,0.246,0.343
2023-06-19 00:00:00,,0.18381995794861114,0.112,0.301
2023-06-19 01:00:00,,0.17502445596361113,0.11,0.294
2023-06-19 02:00:00,,0.17973384801861114,0.088,0.274
2023-06-19 03:00:00,,0.18629730582722223,0.089,0.262
2023-06-19 04:00:00,,0.1618123739252778,0.086,0.264
2023-06-19 05:00:00,,0.17931656759444445,0.101,0.294
2023-06-19 06:00:00,,0.18857627149972225,0.125,0.26
2023-06-19 07:00:00,,0.3141771641952777,0.132,0.409
2023-06-19 08:00:00,,0.9026916983572222,0.142,3.361
2023-06-19 09:00:00,,0.5743603558552778,-0.014,3.412
2023-06-19 10:00:00,,0.35794535301361113,-0.071,0.624
2023-06-19 11:00:00,,0.3836623280627777,-0.041,0.773
2023-06-19 12:00:00,,0.4369723734211111,-0.095,3.201
2023-06-19 13:00:00,,0.36881136735000003,0.07,0.724
2023-06-19 14:00:00,,0.34269640116027783,0.21,0.579
2023-06-19 15:00:00,,0.29517878924083335,0.159,0.484
2023-06-19 16:00:00,,0.3517562518866666,0.12,0.514
2023-06-19 17:00:00,,1.2898985765869444,0.124,2.687
2023-06-19 18:00:00,,0.6704951302366667,0.123,4.068
2023-06-19 19:00:00,,0.44368827838805563,0.224,0.759
2023-06-19 20:00:00,,0.5067359364008334,0.379,0.553
2023-06-19 21:00:00,,0.49696818698805556,0.384,0.633
2023-06-19 22:00:00,,0.3086117902019444,0.142,0.672
2023-06-19 23:00:00,,0.20788378493083334,0.124,1.36
2023-06-20 00:00:00,,0.17637742767,0.114,0.291
2023-06-20 01:00:00,,0.21159006326944443,0.114,0.286
2023-06-20 02:00:00,,0.18518605195888885,0.088,0.263
2023-06-20 03:00:00,,0.1595874841202778,0.089,0.263
2023-06-20 04:00:00,,0.15177126881027778,0.087,0.259
2023-06-20 05:00:00,,0.2114177413022222,0.112,0.291
2023-06-20 06:00:00,,0.23622288819055556,0.112,0.293
2023-06-20 07:00:00,,0.2998073537647222,0.2,1.392
2023-06-20 08:00:00,,0.1824393596511111,0.111,0.339
2023-06-20 09:00:00,,0.20752912851583338,0.088,0.297
2023-06-20 10:00:00,,0.23871263285472222,-0.011,0.383
2023-06-20 11:00:00,,0.19838292093749998,0.118,0.668
2023-06-20 12:00:00,,0.19487277957638885,0.03,0.575
2023-06-20 13:00:00,,0.1914217534588889,0.121,0.368
2023-06-20 14:00:00,,0.23286489890972217,0.11,0.444
2023-06-20 15:00:00,,0.2291737480569445,0.123,0.386
2023-06-20 16:00:00,,0.2880151585286111,0.113,0.588
2023-06-20 17:00:00,,0.30991235526916666,0.194,0.386
2023-06-20 18:00:00,,0.21735684446694448,0.113,0.295
2023-06-20 19:00:00,,0.3255843701775001,0.112,3.294
2023-06-20 20:00:00,,0.2995322978930556,0.193,0.466
2023-06-20 21:00:00,,0.34687681054,0.193,0.542
2023-06-20 22:00:00,,0.2310945163613889,0.148,0.342
2023-06-20 23:00:00,,0.17995787566416668,0.113,0.292
2023-06-21 00:00:00,,0.2003479143272222,0.111,0.276
2023-06-21 01:00:00,,0.2261907198377778,0.113,0.294
2023-06-21 02:00:00,,0.18910690785166662,0.078,0.277
2023-06-21 03:00:00,,0.19165916215694442,0.077,0.286
2023-06-21 04:00:00,,0.1733796416330556,0.105,0.281
2023-06-21 05:00:00,,0.17723542639527778,0.116,0.295
2023-06-21 06:00:00,,0.20752354788944447,0.125,0.291
2023-06-21 07:00:00,,0.6629654908386111,0.133,2.66
2023-06-21 08:00:00,,0.2585897016427778,0.074,0.362
2023-06-21 09:00:00,,0.7484977967952777,0.066,2.617
2023-06-21 10:00:00,,0.2121095248602778,-0.001,0.345
2023-06-21 11:00:00,,0.23980917690305556,0.014,0.41
2023-06-21 12:00:00,,0.3382637008652778,-0.053,0.648
2023-06-21 13:00:00,,0.2343272659786111,0.046,0.381
2023-06-21 14:00:00,,0.22997717550527777,0.116,0.295
2023-06-21 15:00:00,,0.20282034769861113,0.095,0.373
2023-06-21 16:00:00,,0.18729582011472223,0.094,0.293
2023-06-21 17:00:00,,0.2639664612805555,0.189,0.368
2023-06-21 18:00:00,,0.33793219850500006,0.115,3.286
2023-06-21 19:00:00,,0.4108666385586112,0.197,3.289
2023-06-21 20:00:00,,0.24118009145583333,0.143,0.352
2023-06-21 21:00:00,,0.31899369993694443,0.166,1.114
2023-06-21 22:00:00,,0.733526807875,0.145,1.098
2023-06-21 23:00:00,,0.22901030407361114,0.112,0.323
2023-06-22 00:00:00,,0.21532714187916666,0.112,0.292
2023-06-22 01:00:00,,0.1821511430991667,0.112,0.289
2023-06-22 02:00:00,,0.14252697155750002,0.078,0.255
2023-06-22 03:00:00,,0.154745384005,0.077,0.226
2023-06-22 04:00:00,,0.2050883873211111,0.101,0.282
2023-06-22 05:00:00,,0.2095482994438889,0.111,0.292
2023-06-22 06:00:00,,0.18630173888388887,0.117,0.3
2023-06-22 07:00:00,,0.30788236662638885,0.202,1.373
2023-06-22 08:00:00,,0.2527167195569445,0.107,0.614
2023-06-22 09:00:00,,0.31601931565972224,0.12,0.604
2023-06-22 10:00:00,,0.22453559559138891,0.114,0.351
2023-06-22 11:00:00,,0.23417657383055554,0.118,0.347
2023-06-22 12:00:00,,0.24386183983027776,-0.35,0.407
2023-06-22 13:00:00,,0.20481343944416666,0.095,0.358
2023-06-22 14:00:00,,0.18929151002166666,0.117,0.323
2023-06-22 15:00:00,,0.2052351254463889,0.085,0.284
2023-06-22 16:00:00,,0.21890575115888888,0.085,0.296
2023-06-22 17:00:00,,0.28992629172083334,0.121,0.47
2023-06-22 18:00:00,,0.2299486801313889,0.101,0.412
2023-06-22 19:00:00,,1.1192220954330556,0.136,4.166
2023-06-22 20:00:00,,0.7251212142572222,0.124,3.621
2023-06-22 21:00:00,,0.2175404939305556,0.11,0.299
2023-06-22 22:00:00,,0.2152382707388889,0.111,0.387
2023-06-22 23:00:00,,0.19501159902805557,0.115,0.296
2023-06-23 00:00:00,,0.17875800102833336,0.111,0.29
2023-06-23 01:00:00,,0.20731650952694444,0.111,0.281
2023-06-23 02:00:00,,0.173656496005,0.077,0.25
2023-06-23 03:00:00,,0.15214218663638887,0.076,0.249
2023-06-23 04:00:00,,0.1725752319505556,0.107,0.282
2023-06-23 05:00:00,,0.2688491045113889,0.116,0.625
2023-06-23 06:00:00,,0.25210387126111117,0.121,0.414
2023-06-23 07:00:00,,0.6426743193177779,0.186,5.503
2023-06-23 08:00:00,,0.5545542752930556,0.193,2.616
2023-06-23 09:00:00,,0.8723946649005555,0.178,2.646
2023-06-23 10:00:00,,0.39760123912750006,0.227,0.958
2023-06-23 11:00:00,,0.2741454975452778,0.191,0.412
2023-06-23 12:00:00,,0.3435593165611111,0.138,1.549
2023-06-23 13:00:00,,0.40242454061249994,0.184,3.423
2023-06-23 14:00:00,,0.32215977535555557,0.129,1.467
2023-06-23 15:00:00,,0.20143781985333334,0.101,0.297
2023-06-23 16:00:00,,0.5543030880291666,0.097,2.633
2023-06-23 17:00:00,,0.3153943898566667,0.22,0.437
2023-06-23 18:00:00,,0.6579988440475001,0.117,2.537
2023-06-23 19:00:00,,0.20953348638111113,0.114,0.429
2023-06-23 20:00:00,,0.1812523631708333,0.111,0.29
2023-06-23 21:00:00,,0.19217926002194444,0.123,0.307
2023-06-23 22:00:00,,0.19586047315305555,0.116,0.29
2023-06-23 23:00:00,,0.21544385502083332,0.112,0.295
2023-06-24 00:00:00,,0.209481367035,0.112,1.5
2023-06-24 01:00:00,,0.18057100594777778,0.112,0.29
2023-06-24 02:00:00,,0.21517064919444448,0.078,0.541
2023-06-24 03:00:00,,0.246584523,0.079,0.354
2023-06-24 04:00:00,,0.17826070238222225,0.106,0.285
2023-06-24 05:00:00,,0.18238590925888887,0.113,0.264
2023-06-24 06:00:00,,0.21552008050694446,0.114,0.29
2023-06-24 07:00:00,,0.29767199661388893,0.115,0.381
2023-06-24 08:00:00,,0.19585708494416668,0.121,0.298
2023-06-24 09:00:00,,0.1885353902397222,0.12,0.3
2023-06-24 10:00:00,,0.19216171214666666,0.126,0.27
2023-06-24 11:00:00,,0.23023565246833336,0.126,0.299
2023-06-24 12:00:00,,0.2344406032897222,0.118,0.486
2023-06-24 13:00:00,,0.20185800304111112,0.1,0.88
2023-06-24 14:00:00,,0.19558704326249998,0.059,0.311
2023-06-24 15:00:00,,0.19371125001583334,0.111,0.3
2023-06-24 16:00:00,,0.2211021800402778,0.119,0.333
2023-06-24 17:00:00,,0.29752348650249993,0.121,0.379
2023-06-24 18:00:00,,0.1971841048177778,0.114,0.305
2023-06-24 19:00:00,,0.18220103553472222,0.114,0.293
2023-06-24 20:00:00,,0.17545964919777776,0.106,0.29
2023-06-24 21:00:00,,0.22071432397472227,0.127,0.282
